TotalFundName,AssetClass,SubAssetClass,PoolFund,RiskPortfolioCode,PV,StandaloneAbsoluteVar,%GT PV,%GT StandaloneAbsoluteVar
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,OTHER CLIENTS (RISKOTHER CLIENTS),MI3390,1.20,-0.20,0.00%,0.00%
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,OTHER CLIENTS (RISKOTHER CLIENTS),MI3397,0.76,-0.02,0.00%,0.00%
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,OTHER CLIENTS (RISKOTHER CLIENTS),MI3403,9.22,-0.74,0.01%,0.00%
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,OTHER CLIENTS (RISKOTHER CLIENTS),MI3404,1.29,-0.15,0.00%,0.00%
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,OTHER CLIENTS (RISKOTHER CLIENTS),MI3406,1.30,-0.04,0.00%,0.00%
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,OTHER CLIENTS (RISKOTHER CLIENTS),MI3419,16.53,-3.06,0.01%,0.02%
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,OTHER CLIENTS (RISKOTHER CLIENTS),MI3420,0.59,-0.06,0.00%,0.00%
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,OTHER CLIENTS (RISKOTHER CLIENTS),MI4010,124.20,-1.62,0.09%,0.01%
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,OTHER CLIENTS (RISKOTHER CLIENTS),MI4105,0.00,,0.00%,
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,OTHER CLIENTS (RISKOTHER CLIENTS),MI4138,0.00,,0.00%,
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,OTHER CLIENTS (RISKOTHER CLIENTS),MI4145,0.00,,0.00%,
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,OTHER CLIENTS (RISKOTHER CLIENTS),MI4163,0.00,,0.00%,
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,OTHER CLIENTS (RISKOTHER CLIENTS),MI4166,13.68,-0.37,0.01%,0.00%
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,OTHER CLIENTS (RISKOTHER CLIENTS),MI4175,0.00,,0.00%,
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,OTHER CLIENTS (RISKOTHER CLIENTS),MI4179,0.05,-0.01,0.00%,0.00%
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,OTHER CLIENTS (RISKOTHER CLIENTS),MI4180,0.00,,0.00%,
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,OTHER CLIENTS (RISKOTHER CLIENTS),MI5000,101.24,-14.36,0.07%,0.09%
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,OTHER CLIENTS (RISKOTHER CLIENTS),MI9808,154.37,-24.13,0.11%,0.15%
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,OTHER CLIENTS (RISKOTHER CLIENTS),MI9809,43.32,-8.53,0.03%,0.05%
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,OTHER CLIENTS (RISKOTHER CLIENTS),ML5080,0.00,,0.00%,
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,OTHER CLIENTS (RISKOTHER CLIENTS),PE2000,0.00,0.00,0.00%,0.00%
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,PS50RRCASH (RISKPS50RRCASH),PS5020_CASH,-17.91,-0.16,-0.01%,0.00%
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,PS50RRCASH (RISKPS50RRCASH),PS5024_CASH,-0.07,,0.00%,
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,PS50RRCASH (RISKPS50RRCASH),PS5027_CASH,-0.01,,0.00%,
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,PS50RRFI (RISKPS50RRFI),PS5024_FI,18.24,-2.87,0.01%,0.02%
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,TE50RRCASH (RISKTE50RRCASH),TE5040_CASH,-21.41,-0.15,-0.02%,0.00%
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,TE50RRCASH (RISKTE50RRCASH),TE5044_CASH,-0.03,,0.00%,
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,TE50RRCASH (RISKTE50RRCASH),TE5047_CASH,0.00,,0.00%,
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,TE50RRFI (RISKTE50RRFI),TE5044_FI,16.44,-2.59,0.01%,0.02%
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,WC1650OTHERS (RISKWC1650OTHERS),WC1650_Others,272.68,-83.12,0.19%,0.52%
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,WC50RRCASH (RISKWC50RRCASH),WC5030_CASH,-16.60,-0.01,-0.01%,0.00%
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,WC50RRCASH (RISKWC50RRCASH),WC5034_CASH,0.00,,0.00%,
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,WC50RRCASH (RISKWC50RRCASH),WC5037_CASH,0.00,,0.00%,
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,WC5RRRCASH (RISKWC5RRRCASH),WC1650_CASH,-0.56,0.00,0.00%,0.00%
BCI TOTAL FUND,SEGREGATED ASSETS,SEGREGATED ASSETS,WC5RRRCASH (RISKWC5RRRCASH),WC1667_CASH,0.00,,0.00%,
