RiskDate,Shock,Confidence_Interval,Contribution By,Description,Market_Value,Market_Value_(%),Standalone_Absolute_VaR,Standalone_Absolute_VaR_(%),Contribution_Absolute_VaR,Contribution_Absolute_VaR_(%),Evaluate_By,RptDateTime
09/30/2017,All Factors Shock,Lowest 18,Portfolio,Real Estate,17394834967,0.129015605,-1619401439,-0.093096683,-1443617629,0.086773706,DIM_Portfolio[Portfolio_Level_3],15:11.0
06/30/2017,All Factors Shock,Lowest 18,Portfolio,Real Estate,18194195266,0.1347719,-1876174166,-0.103119382,-1731539257,0.100359405,DIM_Portfolio[Portfolio_Level_3],15:11.0
12/31/2017,All Factors Shock,Lowest 18,Portfolio,Real Estate,17608973897,0.126433412,-1719451847,-0.09764634,-1500508615,0.08847182,DIM_Portfolio[Portfolio_Level_3],15:11.0
03/31/2017,All Factors Shock,Lowest 18,Portfolio,Real Estate,17716406457,0.13043606,-1870163172,-0.10556109,-1729038052,0.098659961,DIM_Portfolio[Portfolio_Level_3],15:11.0
09/30/2016,All Factors Shock,Lowest 18,Portfolio,Equity,59738180232,0.456830302,-12082743579,-0.202261661,-12060660464,0.718701489,DIM_Portfolio[Portfolio_Level_3],15:11.0
03/31/2018,All Factors Shock,Lowest 18,Portfolio,Equity,64297818042,0.450147861,-12311904610,-0.191482464,-12189080437,0.704491978,DIM_Portfolio[Portfolio_Level_3],15:11.0
12/31/2016,All Factors Shock,Lowest 18,Portfolio,Equity,60481781813,0.461815559,-12503352014,-0.206729227,-12454368453,0.718659558,DIM_Portfolio[Portfolio_Level_3],15:11.0
09/30/2017,All Factors Shock,Lowest 18,Portfolio,Equity,63679129243,0.472301196,-12273511018,-0.192739932,-12193201373,0.732915176,DIM_Portfolio[Portfolio_Level_3],15:11.0
06/30/2017,All Factors Shock,Lowest 18,Portfolio,Equity,62513608157,0.46306405,-12776016518,-0.204371766,-12710942034,0.736721718,DIM_Portfolio[Portfolio_Level_3],15:11.0
12/31/2017,All Factors Shock,Lowest 18,Portfolio,Equity,64167767993,0.460728144,-12356542580,-0.19256619,-12265684211,0.723199718,DIM_Portfolio[Portfolio_Level_3],15:11.0
03/31/2017,All Factors Shock,Lowest 18,Portfolio,Equity,63610788906,0.468330904,-13038943698,-0.204980066,-12960502767,0.73953416,DIM_Portfolio[Portfolio_Level_3],15:11.0
09/30/2016,All Factors Shock,Lowest 18,Portfolio,Segregated Assets,1708722731,0.013066958,-82621354.85,-0.048352698,44496856.77,-0.002651593,DIM_Portfolio[Portfolio_Level_3],15:11.0
03/31/2018,All Factors Shock,Lowest 18,Portfolio,Segregated Assets,2519170540,0.017636667,-112580521.4,-0.04468952,25166465.39,-0.001454546,DIM_Portfolio[Portfolio_Level_3],15:11.0
12/31/2016,All Factors Shock,Lowest 18,Portfolio,Segregated Assets,1796154742,0.013714745,-77637194.33,-0.043224112,42295063.86,-0.00244057,DIM_Portfolio[Portfolio_Level_3],15:11.0
09/30/2017,All Factors Shock,Lowest 18,Portfolio,Segregated Assets,1473275409,0.010927124,-101969424.3,-0.069212738,39700698.05,-0.00238635,DIM_Portfolio[Portfolio_Level_3],15:11.0
06/30/2017,All Factors Shock,Lowest 18,Portfolio,Segregated Assets,1925383027,0.014262105,-95054657.96,-0.04936922,46997768.5,-0.002723974,DIM_Portfolio[Portfolio_Level_3],15:11.0
12/31/2017,All Factors Shock,Lowest 18,Portfolio,Segregated Assets,1535338288,0.011023814,-133129186.5,-0.086710002,43372435.77,-0.002557292,DIM_Portfolio[Portfolio_Level_3],15:11.0
03/31/2017,All Factors Shock,Lowest 18,Portfolio,Segregated Assets,2292493967,0.01687836,-103070428,-0.044959956,40332692.05,-0.002301408,DIM_Portfolio[Portfolio_Level_3],15:11.0
09/30/2016,All Factors Shock,Lowest 18,Portfolio,Fixed Income,28579474123,0.218553189,-1493175512,-0.052246431,85365769,-0.005086994,DIM_Portfolio[Portfolio_Level_3],15:11.0
03/31/2018,All Factors Shock,Lowest 18,Portfolio,Fixed Income,30080212213,0.210591021,-1469835081,-0.048863853,127425773.7,-0.007364824,DIM_Portfolio[Portfolio_Level_3],15:11.0
12/31/2016,All Factors Shock,Lowest 18,Portfolio,Fixed Income,26302756676,0.200837705,-1383391198,-0.052594913,100244584.6,-0.005784455,DIM_Portfolio[Portfolio_Level_3],15:11.0
09/30/2017,All Factors Shock,Lowest 18,Portfolio,Fixed Income,25338339996,0.18793172,-1282444522,-0.050612807,105480760.2,-0.006340291,DIM_Portfolio[Portfolio_Level_3],15:11.0
06/30/2017,All Factors Shock,Lowest 18,Portfolio,Fixed Income,27629603269,0.204663854,-1322424016,-0.047862577,216644323.7,-0.012556629,DIM_Portfolio[Portfolio_Level_3],15:11.0
12/31/2017,All Factors Shock,Lowest 18,Portfolio,Fixed Income,27789172611,0.199527805,-1389743831,-0.050010263,115686955,-0.006821044,DIM_Portfolio[Portfolio_Level_3],15:11.0
03/31/2017,All Factors Shock,Lowest 18,Portfolio,Fixed Income,27048865683,0.199145773,-1237686522,-0.045757428,280966109.4,-0.016032097,DIM_Portfolio[Portfolio_Level_3],15:11.0
09/30/2016,All Factors Shock,Lowest 18,Portfolio,Mortgages,2581081156,0.019738065,-70899713.82,-0.027468998,-38568924.99,0.002298344,DIM_Portfolio[Portfolio_Level_3],15:11.0
03/31/2018,All Factors Shock,Lowest 18,Portfolio,Mortgages,3357555762,0.023506187,-146681208.9,-0.043686902,-95356425.61,0.005511313,DIM_Portfolio[Portfolio_Level_3],15:11.0
12/31/2016,All Factors Shock,Lowest 18,Portfolio,Mortgages,2640682354,0.020163232,-95460933.11,-0.036150101,-45502090.28,0.002625626,DIM_Portfolio[Portfolio_Level_3],15:11.0
09/30/2017,All Factors Shock,Lowest 18,Portfolio,Mortgages,2954707853,0.021914748,-107322324.6,-0.036322483,-28370617.45,0.001705316,DIM_Portfolio[Portfolio_Level_3],15:11.0
06/30/2017,All Factors Shock,Lowest 18,Portfolio,Mortgages,2605126988,0.019297249,-95130349.49,-0.036516588,-26139712.52,0.001515049,DIM_Portfolio[Portfolio_Level_3],15:11.0
12/31/2017,All Factors Shock,Lowest 18,Portfolio,Mortgages,3122410214,0.022419079,-118112562.1,-0.037827369,-29421385.91,0.001734721,DIM_Portfolio[Portfolio_Level_3],15:11.0
03/31/2017,All Factors Shock,Lowest 18,Portfolio,Mortgages,2733022188,0.020121724,-100902751.4,-0.036919843,-29829245.18,0.001702075,DIM_Portfolio[Portfolio_Level_3],15:11.0
